Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-01-01 00:00:00+05:30,1.150240528681902,1.150240528681902,1.1103807007640487,1.1312596797943115,700000,0.0,0.0
1996-01-02 00:00:00+05:30,1.131259998582227,1.1483428126488913,1.1198714860404013,1.129361867904663,824000,0.0,0.0
1996-01-03 00:00:00+05:30,1.1293619167190507,1.1369542587417647,1.1198715344445862,1.1331580877304077,568000,0.0,0.0
1996-01-04 00:00:00+05:30,1.1331583494832878,1.131260308793101,1.1160756212401002,1.125566005706787,564000,0.0,0.0
1996-01-05 00:00:00+05:30,1.1255658766618484,1.1312601790953165,1.1198716647362468,1.12366783618927,378000,0.0,0.0
1996-01-08 00:00:00+05:30,1.1236677709721732,1.119871599739478,1.1046869148086962,1.1103811264038086,474000,0.0,0.0
1996-01-09 00:00:00+05:30,1.1103810040738855,1.1103810040738855,1.062928823639037,1.0743173360824585,966000,0.0,0.0
1996-01-10 00:00:00+05:30,1.0743175037106933,1.0876041488884234,1.0667251608970951,1.0781136751174927,452000,0.0,0.0
1996-01-11 00:00:00+05:30,1.0781135068969323,1.0932982806626792,1.062928823639037,1.0743173360824585,636000,0.0,0.0
1996-01-12 00:00:00+05:30,1.074317206489295,1.0762153369214893,1.0629286954196513,1.0724191665649414,862000,0.0,0.0
1996-01-15 00:00:00+05:30,1.0724195802437122,1.0686234084228161,1.0534387211392318,1.0591329336166382,362000,0.0,0.0
1996-01-16 00:00:00+05:30,1.059132931981674,1.0629291037967101,1.0401520729064941,1.0401520729064941,716000,0.0,0.0
1996-01-17 00:00:00+05:30,1.0401518829918268,1.0610308694163022,0.9983940006507348,1.0078843832015991,858000,0.0,0.0
1996-01-18 00:00:00+05:30,1.0078848037094614,1.0078848037094614,0.9870058085738898,1.0021905899047852,660000,0.0,0.0
1996-01-19 00:00:00+05:30,1.00218997646943,0.9983938060872967,0.9623301422031102,0.9699224829673767,852000,0.0,0.0
1996-01-22 00:00:00+05:30,0.9699229718791152,0.9832095296600527,0.956636323590291,0.9661267995834351,718000,0.0,0.0
1996-01-23 00:00:00+05:30,0.9661264735977143,0.9870053689251564,0.9528398297920051,0.9604321718215942,798000,0.0,0.0
1996-01-24 00:00:00+05:30,0.9604320149842143,0.9604320149842143,0.9300626518251376,0.9357568621635437,898000,0.0,0.0
1996-01-25 00:00:00+05:30,0.9357571344169022,0.9300629224217967,0.914878236424358,0.9243686199188232,780000,0.0,0.0
1996-01-26 00:00:00+05:30,0.9243686199188232,0.9243686199188232,0.9243686199188232,0.9243686199188232,0,0.0,0.0
1996-01-29 00:00:00+05:30,0.9243683894460852,0.9471454127632488,0.9091837072346428,0.9433492422103882,622000,0.0,0.0
1996-01-30 00:00:00+05:30,0.9433493676448724,0.9680245247733744,0.9433493676448724,0.9566360116004944,904000,0.0,0.0
1996-01-31 00:00:00+05:30,0.9566358798012485,1.0002918862032353,0.9680243914050913,0.9832090735435486,688000,0.0,0.0
1996-02-01 00:00:00+05:30,0.9832093619669003,1.0629290570873273,0.9870055336151173,1.0553367137908936,848000,0.0,0.0
1996-02-02 00:00:00+05:30,1.0553367793100912,1.1369545200678213,1.0629291230778857,1.106585144996643,1638000,0.0,0.0
1996-02-05 00:00:00+05:30,1.1065845900861944,1.1768137799749416,1.119871230271024,1.1369539499282837,1812000,0.0,0.0
1996-02-06 00:00:00+05:30,1.1369542095992136,1.157833194513153,1.1198714860404013,1.129361867904663,1776000,0.0,0.0
1996-02-07 00:00:00+05:30,1.1293619273873028,1.1103810721512197,1.0724193616790534,1.08760404586792,1172000,0.0,0.0
1996-02-08 00:00:00+05:30,1.0876042260093302,1.195795254536621,1.0951965693612937,1.1559354066848755,1334000,0.0,0.0
1996-02-09 00:00:00+05:30,1.1559351121575296,1.3875017064059845,1.2717183640278324,1.385603666305542,3440000,0.0,0.0
1996-02-12 00:00:00+05:30,1.3856036651784553,1.4406481856642441,1.3096801605576902,1.332457184791565,5702000,0.0,0.0
1996-02-13 00:00:00+05:30,1.3666227867847494,1.3666227867847494,1.2622280421112195,1.3096802234649658,2902000,0.0,0.0
1996-02-14 00:00:00+05:30,1.30968032481711,1.4425464066865568,1.3628267213617447,1.4083808660507202,4928000,0.0,0.0
1996-02-15 00:00:00+05:30,1.408380969203726,1.4311579979625246,1.3931962833645266,1.398890495300293,2382000,0.0,0.0
1996-02-16 00:00:00+05:30,1.39889022482838,1.3950940541025605,1.3324571918726105,1.351438045501709,2792000,0.0,0.0
1996-02-19 00:00:00+05:30,1.351438319199577,1.3856039531591435,1.3286612902317774,1.3343555927276611,2594000,0.0,0.0
1996-02-20 00:00:00+05:30,1.3343558016494723,1.3343558016494723,1.25463609727249,1.2774131298065186,2722000,0.0,0.0
1996-02-21 00:00:00+05:30,1.2774131298065186,1.2774131298065186,1.2774131298065186,1.2774131298065186,0,0.0,0.0
1996-02-22 00:00:00+05:30,1.2774129427255634,1.3191708295890485,1.2906995883451522,1.3001899719238281,1696000,0.0,0.0
1996-02-23 00:00:00+05:30,1.3001904396481387,1.3286617816420485,1.2907000526554362,1.2982923984527588,1374000,0.0,0.0
